,text
0,@apple I wish camera on the side in next #iPhone and #landscapeTwitter on @twitter app in new #2015! #RD
1,"JMP raises Apple price target from $130 to $150, reasons why here: http://t.co/XOTExD9Y4o  #JMP #AAPL #Stocks #WallStreet"
2,@Apple I'd like to see emojis that look like me
3,#Russia is selling its banned #SteveJobs #tribute #statue | @CultofMac http://t.co/RPsHWCAr3s #Apple #AAPL #iPhone #memorial #bastards
4,My office for today #RemoteSupport #TechLife @Apple http://t.co/IY0xAufNTP
5,"Tim Cook Shows Off Apple Watch to Chinese Internet Official, Discusses Security Issues http://t.co/4nrcjqs75m #AAPL"
6,@ace_kit_uk @office_nerd @Apple Is this deal still available?
7,RT @LawKitson: Wut? @apple can I have my money back? kthx http://t.co/zVp7MUZDAM
8,"Seriously wtf iPhone. It's been fucking up all day, now it won't let me set my alarm for my 9:30 lecture. Fkn @apple you can pay my tuition"
9,@SwiftKey @Apple too bad all third party keyboards on iOS are buggy as hell and therefore completely unusable. Undeserved.
10,Is Apple a symptom of a tech bubble? Could Apple be overvalued? 700B Reasons for Apple's Valuation: https://t.co/MssFgcQiaF #Apple #AAPL
11,"#iPhone6c release date, #rumours and #leaked images: #Will @Apple [#Apple] release a .... (#Thursday, 4 #December) http://t.co/BoA50OHs0b"
12,s/o to @apple for charging me for two ringtones and then not letting me use them. #ThanksObama
13,"IPhone6 has too many issues,  why tf is the earphone plug in not working @apple u better fix this shit for free."
14,I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple
15,"New @apple problem. At airport. Boarding pass on phone. Held up to scanner at security, and my #ApplePay credit card takes over screen."
16,CNBCTV:  #Chromecast beats #AppleTV #aapl http://t.co/uX3vYSzHhu
17,@apple #iPhones Of The Future Could Save Themselves When You Drop Them http://t.co/CNl4d6nlsp
18,"Who in the hell @apple thought, let's put the volume display in front of a video. Absolutely dumb. Miss video every time you adjust volume."
19,@apple had a dream last night where I downgraded my #iPhone to a 4S and spent the rest of the dream trying to figure out what to do. #shame
20,We will be in room 1215 at 3:15 today presenting on our experience with @Apple DEP and @JAMFSoftware   #herewegolakers
21,Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/mptcggWZO1
22,The rumoured @oppo R8207 looks very similar to a certain @Apple #iPhone6 http://t.co/eSUoXuE4lr
23,I posted 9 photos on Facebook in the album 'WOW TALKS // PASSION FOR DESIGN // LONDON DESIGN FESTIVAL @APPLE' http://t.co/vgRlX9OCMT
24,Ok seriously... When is @apple going to fix iOS 8? I'm still missing music!
25,Yeeaaayyy....awesome OS X Yosemite 10.10.1 roccckkkssss m/ https://t.co/cK8wPnN91V @satan_oppa @apple
26,"Apple's iPhone 6 Plus Amazingly Captures 41% of the Phablet Market Right out of the Gate $AAPL #aapl
http://t.co/hv7jiOO6S0"
27,RT @chemixcalbieber: '@WhoaBiebz: GET YOUR SHIT TOGETHER OR I'LL GUY A SAMSUNG GALAXY S5 @APPLE' http://t.co/LEHpmkxK0a
28,"Apple Wants To Make Your Commute Much Easier, According To This New Patent $AAPL #aapl
http://t.co/FD6FCM2HQB"
29,Mark #Zuckerberg Slams Tim #Cook: You Don't Care About Your Customers #fb #aapl http://t.co/HWDmpRoIgT http://t.co/58j6KPMIlI
30,"YES.  RT @garrett_wollman: No, @Apple, don't 'remind me tomorrow'. Just f'ing TELL ME what the updates you want to install actually ARE."
31,"@Apple [#Apple] #Loop: #iPhone6S Rumors, #Jobs And Wozniak's Garage Myth, iPhone 6C .... (#Saturday, 6 #December) http://t.co/o4cQFQgMyv"
32,"Early Apple Employee Bill Fernandez Shares Details on Steve Jobs, Creation of the Apple II, and More http://t.co/hv7TfDUIm9 #AAPL"
33,"The 10 biggest differences between #Mac and #PC.  Yep, I'll stick with my Mac! #apple http://t.co/obykvsjfJY @apple @LisaEadicicco"
34,"@5wa Haha, @Apple techs seeing the #CondoSeniors cookery should jump at opportunity! ;-)"
35,#AAPL providing another great entry point &lt; $115
36,RT @Breyythatsmee: I have 170 pictures and my storage is full @apple get it together
37,GVA lounge: in sight 6 Macs and 3 PCs + undetermined number of iPxs! #AAPL
38,okay so now the sound to my phone is messed up..I really think you're doing this on purpose @apple
39,Loving my @apple #iPhone6Plus even though I've hyperextended my thumb reaching for the top Apps #thestruggleisreal
40,'This accessory may not be supported' ok @Apple just tell me that the charger that came with my phone won't work???
41,"Apple to Open New Research Site in Japan $AAPL #aapl
http://t.co/od40Ru1XvE"
42,Apple Inc. CEO Donates $291K To Pennsylvania School District http://t.co/9gkKgWuASR #AAPL
43,@SheLovesQuez @Apple you must not like em
44,"Shockingly, iMessage on the desktop is fucked up again. Great work, @apple. Seriously, on point with network services as only you can do."
45,"@TeamCavuto @FairOaksTrader @Apple  Still Misplaced, but they are the companies with the most power to do something."
46,@sharksbeauty @Apple LEMME get the blondes number
47,Square Launches iOS App for Food Delivery Service Caviar [iOS Blog] http://t.co/l9uaXkPbxU #AAPL
48,@zagkmerrick @Apple thats not their twitter oh
49,another fucking software update? really? @apple
50,#Apple Stores hosting Hour of Code programming workshops on December 11th - http://t.co/lDmfG6nQES #AAPL #Tokyo
51,Photo: Yaaass. Shoutout to @apple.holidays and to @stevejobs for being amazing! #iPhone #stevejobs... http://t.co/6IObBn59MQ
52,"In the @Apple iPod antitrust case, recent development - Plaintiffs may never have bought the iPods in the first place http://t.co/ivBJa2YJgM"
53,#Apple admits it deleted songs purchased through competing stores from iPods ... - http://t.co/5YDlxI8TJ5 #AAPL #RealNetworks
54,Got to hear about the new patent by apple ... and that's a quite innovative idea.... @apple.  The mobile screen will never break in future
55,RT @animaItoes: Why does my phone suck so much @apple
56,"@Apple, why I cannot alt+tab back to full screen app!? GRRRR! #usability"
57,"Apple Inc. price at close, December 03, 2014, is 115.95. #apple #AAPL"
58,@Maine_Nitin Good morning! Looks like I'll be hanging at the @Apple store with the students and snowbirds sometime this week.
59,INSIGHT FROM APPLE'S TIME COOK http://t.co/96c0F0rfgX @tim_cook @apple #Apple #iPhone6 #Google #Microsoft http://t.co/DeOerErnMf
60,"Yes @apple, now is a perfect time to lock my screen and install a software update without asking. #not"
61,OR @phone OR @apple I FUCKING HATE YHIS OHONE OMG IM SO EMBARRASSED
62,@matt_garber @levifig @dcurtis hah. I wasn't defending it. But this is @apple and they don't understand the internet.
63,Cheeky @apple...  Very cheeky.... No dice though... You can't own 'App Store' it's a description not a product - http://t.co/8L7VeRuzfs
64,Photo: Amazing customer service today @Apple. UTC store. I worked form the store for several hours on... http://t.co/9tLhm3p2z6
65,MacBook Pro 13   Non-retina First Startup: http://t.co/9l6RK2OLq2 via @youtube @apple #macbook #macbookpro #startup #hipster
66,"#Russia Could #Ban #Apple Inc. #iPhone For #Lawmakers | @ValueWalk http://t.co/QHgO1Ncbgr #AAPL #tech

For reverse #security reasons"
67,My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple
68,When is @apple going to stop producing these pieces of shit earphones? Its about time for earphones that dont tangle! http://t.co/qFSHqwc4Zj
69,@apple yall some hoes
70,"New 4-inch iPhone 6 Reported. 5 Reasons Apple Must Make It  $AAPL #aapl
http://t.co/jmpX51PCgL"
71,The #AppleWatch And Its $11 Billion Impact On Earnings In One Year #AAPL http://t.co/OUZBVanyRh
72,Seriously?! @apple that stupid add of the macbook with the different stickers you can put on it?! I hate how gullible people can be.
73,Hey @Apple what the hell is this hahaha http://t.co/r1Uspl8dHn
74,The @Apple iWatch: Changing the face of watches http://t.co/EtfTAT5K7x #applenews #iwatch #gadgets
75,#Apple Inc. and #Facebook Clash; Neither Is Wrong | The Motley Fool #fb #aapl http://t.co/AAy60rtQFC
76,Have Apple's iPad Sales Peaked? #AAPL http://t.co/zDUTviV8ys
77,RT @JodiSpicer: #whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime
78,Sign of utterly broken wifi driver: my @apple Air sitting on my lap I'm desperate enough to read my email on my Android phone
79,"Yeah +1 thing I'm inspired by is Apple of course. So, Apple++. Here is TV ad from 2002: http://t.co/s5MgeHg9bO @apple #tvad"
80,All they do is steal your money @apple :)
81,"Fans scramble for #iPod Classic, the music player #Apple killed off #aapl

http://t.co/ARjJvuI3b6"
82,"RT @JPDesloges: APPLE - Fibonacci Technicals Levels -LAST  Intraday  Update - $AAPL #aapl 
http://t.co/P66pCgDlij"
83,1st quarter ? RT @Ms_BiAnCa_BiSa: @MhDaDon @Apple next year
84,@aydlettgwyn13 @apple please educate us
85,"Congrats to @Apple, Mary Sotos @WorldResources  for Green Power Leadership Awards at REM14 @GreeneMarktplc  http://t.co/ssrfEyx4Sf"
86,.@apple The iPad update to iOS 8 is an absolute disaster. Nothing works right anymore. Safari crashes constantly. #iFail
87,Always so impressed with the customer service at the @apple store square one. My laptop works again and didn't cost me a dime!
88,@Apple s new patent against broken screens http://t.co/LSwPdLt8UD  @TechCrunch #tech #iphone #business #innovation
89,It's been over a month of store visits and calls and still my iPhone doesn't receive texts from non @apple or @ATTCares customers #fail
90,Every time I change keyboards this come up. Like wtf @apple get your shit together http://t.co/A9cimyYod8
91,@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? http://t.co/fW3BoW53dj
92,"RT @TeamCavuto: Protesters stage #DieIn protests in @Apple store in NYC... Is it me, or is this anger misplaced? RETWEET if you agree."
93,@NickM538 @Apple tell them how ya really feel
94,Who annoys me more @at&amp;t or @apple @SamsungMobileUS  here I come for a galaxy s5
95,Aw yeah! monarchywpb sticker to ride with @Rhyot boommovement and @apple http://t.co/RGcHuCS95D
96,RT @DecodedFashion: .@Apple is reportedly hiring fashion-focused staff for its physical stores http://t.co/ZoOnR3u5zV #FTDaily #FashionTech
97,Is It Time to Buy the Dip in Apple Inc. Stock? http://t.co/yDiX7wZOLP #AAPL
98,@eliransapir @Apple ok duly noted
99,@SheLovesQuez fuck @Apple I'm get a note
100,"Dear @Apple, I place all my browser eggs in the #Safari basket. Guess what? Safari is broken, please fix the release you pulled. #FAIL"
101,"$AAPL as expected, some users still like small screens, iPhone 6 mini reportedly on its way #AAPL http://t.co/QDj4eBlP6H"
102,"RT @JPDesloges: Apple to launch 4-inch iPhone next year: Report $AAPL #aapl
http://t.co/x3lzm9bOoM"
103,5 Companies Growing Faster Than Apple Inc. http://t.co/QsoC8dir60 #AAPL
104,"Apple: Facing A Challenge From Google's Android $AAPL #aapl
http://t.co/mpcU3cC4fM"
105,media reports say that @Apple is hiring pros from the fashion and retail industry - #wearabletechnology is fashion http://t.co/IVWpWzgUp7
106,Thanks @Apple store @RobinaTC for helping me out with my iPhone today! Great service with a smile. #Apple
107,"RT @aaaron: Insanely great news. @adroll teams up with @apple for iAds programmatic launch
http://t.co/l5flNuBtBa"
108,@OneRepublic @Apple #AppleAddict ! The show in Paris was Amazing !!!! Thank you guys !!!! See you soon !
109,"Loving the Samsung one with Kristen Bell. RT @adage: Watch the weekend's new TV ads from @RadioShack, @Apple and more http://t.co/zqmtQ7WZeS"
110,I've Abandoned #iTunes And I'm Never Going Back Because #GoogleMusic Is So Much Better #aapl #goog http://t.co/dp6pTxrTvp
111,FUCK @apple
112,@sashametro @mayhembcn @apple happy to help..if u use kind words :). Using apple process is free and fast. http://t.co/qQGQokjaxE. DM with ?
113,Well thanks @apple for losing over 5000 of my songs off my classic and now every photo i had on my itouch was deleted. #greatcompany
114,I'm learning all about Apple iPad mini Smart Cover - Green at @Influenster! @Apple http://t.co/RioO60xsQ1
115,Steve Jobs Predicted Future Of E-Commerce Back In 1996 &amp; Got It Exactly Right! http://t.co/w7q2G2SCbH via @sai #ecommerce #AAPL
116,@OneRepublic @Apple THIS IS SO BEAUTIFUL
117,@apple your chargers suck ass! They just love to break!
118,Apple Inc. (AAPL) Focuses On Larger Indian Market Share http://t.co/o9RU1Lv1V8 #AAPL
119,Is #Apple Inc. Losing the $5 Billion Ed-Tech Market? | The Motley Fool #aapl http://t.co/bIz7kKXY2t
120,"Why Morgan Stanley Is Negative On Apple And The Tech Sector $AAPL #aapl
http://t.co/wARhEy9ueH"
121,Why do you hate business so much @Apple?
122,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks
123,Apple Inc. Deleted Non-iTunes Music Off iPods http://t.co/UE6JaM5vc3 #AAPL
124,@Apple @DonorsChoose @BestBuy Help me reach my goal.
125,"Hey @apple, fuck you for thinking I want text messages to pop up on my computer, iPad and phone.. #ThisIsWhyPeopleGetMurdered"
126,@apple fuck you bitches my phones abrick and stuck on the apple logo
127,"@MarkZuckerbergF of @facebook and tim cook of @apple are sparring, but can we plz talk REAL connectivity on the web? http://t.co/AKfHP9pL9X"
128,Headed to @IKEA and @Apple Store today. Yikes or Yay? #dayoffduties
129,#AAPL #iPadAir2 RT @waltmossberg Apple Unveils New iPad Air 2 Ads http://t.co/XCsTkCpQWo  via @KurtWagner8 http://t.co/KkUUQBhK9q
130,@jakeflem @Apple  Sorry that you're going through that hope you get this fix it was a real pain for us too  but Apple care cover it for free
131,"In first-ever Apple Watch hackathon, apps and challenges emerge $AAPL #aapl
http://t.co/rmYFzMIE5K"
132,@brwnskin_beauti cause fuck @apple
133,fucking faggots @apple
134,RT @WeeWiii: Wtf @apple y'all shit be cheap. http://t.co/jeOimq3HNA
135,@apple fuck you
136,FUCK YOU @Apple
137,"@kodam13 and #blunderblock if fricking @Apple ever gets their act together!!!!
@AppStore we need Blunderblock by
@BrandiGlanville"
138,Wouldn't be a bad idea to bring back the tap to tweet function guys @apple @twitter
139,@BlackBerry I kinda feel sorry for @Apple tho. #GoodJob with your last product guys!
140,Details of the Apple Inc. iPad Mini 4 Revealed http://t.co/Qeun7yXwMP #AAPL
141,So @apple wouldn't fix my phone and claims that I didn't tell them to screen was fucked.
142,@apple get your shit together.
143,@Apple need to hurry up and make a middle finger emoji
144,"Torn between a @googlenexus, @samsungmobile Note 4, or an @apple iPhone...

Lol jk Apple, I have a soul.
Just need to save money for Android"
145,"Apple:Dec 3 Trading Daily Profit $1.85/sh, Weekly Profits of $15.22/sh  #aapl #Stockaction #trading #Stocks #MKt  
http://t.co/az3SvKM4Id"
146,RT @FaZeNikan: yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple
147,"As the sun devils were making their 20-2 run on us, my phone called 4 people and hung up on them all on it's own. WTF! #iphoneissues @apple"
148,The questions every #CIO should ask about @Apple #iWatch: http://t.co/1RSxT3CMlZ
149,if i fail poli sci because of this fucking laptop i'm suing @apple
150,@Apple fix addis' phone so we can text each other pls and thx
151,This is why I moved over to @Apple... http://t.co/fAW3zsfzt7
152,Do i have to go to @Apple if idr the code? -_-
153,Finally got my iPhone 6 in the mail and it comes out of the box with a busted screen.  Thanks @apple
154,What I find alarming about @Apple power cords is how quickly they fray.  I don't always notice when I don't travel with them. #AppleCordFire
155,RT @peterpham: Bought my @AugustSmartLock at the @apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3
156,"Apple: quarter 2014Q3 EPS is $1.42. Use it at #free App Donkey Stocks. #AAPL
https://t.co/8CBUgrEHZS"
157,Khloe Kardashian has a black iPhone 6 but I still don't have mine???... @Apple whats going on huh? picking favorites? you biased fucks
158,Disgusted with @apple advertising for the iPad air. #falseadvertising #nono
159,"Will Apple Inc.'s Profit Margin Continue Upward? $AAPL #aapl
http://t.co/mK7jx2SlhF"
160,Comparison between @apple maps and @google maps: http://t.co/FyzGWVm6NR #longreads #webdesign
161,Just overheard an @apple employee tell some1 not to use capital letters in their password cause it will be easier to remember! #applefail
162,Frustrated after unsuccessfully trying to fix outgoing SMTP configuration. &lt;3 @Apple but this is unacceptable #YosemiteProblems #apple #help
163,They gotta DO something '@_iRapeCouches: @SydneyA @Apple SO TRASH my computer keeps freezing &amp; being dumb af after i upgraded to Yosemite
164,Nigga my phone has froze 3 times today &amp; it's not even 11 am tf @Apple
165,Got new cases. :) @apple @applestore @citycreek #slc #citycreek #apple #applestore #red ... http://t.co/eiT3tsudcu http://t.co/BPaOYLImcR
166,RT @hypebot: Steve Job's Deposition in #iPod Lawsuit Could Cost @Apple $1 Billion http://t.co/7vDXwvxKpe #MusicBiz #MusicIndustry #Apple
167,"Move Aside #Apple and #Google, #Alibaba is Entering the Connected Car Space - Forbes #baba #goog #aapl http://t.co/gOSQlrWvtl"
168,"Steve #Wozniak on #Apple, the Computer Revolution, and Working With #SteveJobs - Businessweek #aapl http://t.co/DvUBLAZ9x4"
169,Every student deserves a chance @apple #connected #txed
170,RT @_iamGambino: Thank you @Apple
171,"TheStreet: #Cramer Says Buy mApple, as #Avago Tech's Earnings Hint at Big Demand #avgo #aapl http://t.co/iabVpFUIoc"
172,An OSX update just bricked my MacBook Pro!. @apple fuck..
173,@Apple I h8 everything about u
174,why does @Apple take so long to send you the password reset email #ipod #apple #soslow
175,my phone is so slow now that i updated to ios 8 im so angry @apple fix this
176,What the hell is this @apple @WhatsApp #glitches http://t.co/iKuRl4iUOE
177,@dougluberts @Apple Is it the 128gb version?
178,@apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from #facebook #thanks
179,when this  iwatch finna drop fam @apple
180,"Hey @Apple, every time you update iTunes you make it worse. And worse. #DontUpdateiTunes"
181,. @stevewoz: passion for engineering/design at the heart of what he did for @apple. http://t.co/dL7l2Us27T via @BloombergTV
182,RT @WillliamLemar: RT @JustPoetic_: Why the fuck is there a 'recently deleted' photo album? @Apple
183,"#Verr?cktes #Ger?cht: #iPhone6s zum @Apple [#Apple] Watch. (#Thursday, 4 #December) http://t.co/RZQ20daDNt"
184,"@jakeflem @Apple But it won't fix the problem for good, could back and you might have to change the logic board, check with  Apple Genius :("
185,RT @OvelhaNegraTV: Apple TV fades away in streaming video player market - @Apple #vod #streaming http://t.co/5jYgtiCWlc
186,@OneRepublic @Apple Working hard for album 4
187,@Apple deleted music from customers' iPods http://t.co/FzmaFUzrnl
188,RT @QueenCleo_92: Why are your phone chargers so terrible @apple Fix this @Jesus
189,@SimplyYours_Joh @ScarFaceSheed_ @JColeNC @Apple I told him that but he's crazy
190,@renoxalex @Apple so sick @tacobell is petitioning for one
191,"#IPhone6Plus vs. Galaxy Note 4: #Has @Apple [#Apple] Really Snatched Away the #Phablet .... (#Thursday, 4 #Decem... http://t.co/WQQDA8FDVB"
192,@ch0ng_li @Apple I'll take a look at that. I'm fed up with iPad well &amp; truly..
193,#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..
194,"MasterCard Teams up with Gwen Stefani to Promote Apple Pay $AAPL #aapl
http://t.co/EToKp308cW"
195,"Early Movers: BIG, DLTR, THI, #AAPL, FIVE &amp; more: These are the stocks posting the largest moves before the bell. http://t.co/GBlMWzOcQO"
196,"When a company is playing catch-up, it lost its innovation momentum. Sorry @apple http://t.co/jSDeyIpnek via @tomshardware"
197,CNBCTV:  Analyst worries about #iPhone growth #aapl http://t.co/2cA2SfAShg
198,ayo @Apple I think u should create a 'video message' option so when @CarlaBarlaCakes doesn't answer my facetime I can leave her a VIDEO MAIL
199,First to own 2600 digital languages is the NEW leader of the Internet. .@Samsung  .@google .@apple .@Micromax_Mobile #onlinegaming  .@WoW_en
200,Realised the reason @apple make huge phones is because they f**ked Safari up by not allowing us to hide the address bar
201,RT @jgreerthaatruth: Done with this iPhone 6 plus Apple or sprint giving me my bread back. Trash ass phone full of fuck ups @sprint @apple
202,Finally! Brooklyn Is Getting Its Own #Apple Store #aapl http://t.co/IpjMgjGQw5 http://t.co/Ow2BSRLbAx
203,Intel And Inevitability - http://t.co/gIZLUhRphw #AAPL #INTC #MCHP
204,Help? 4s won't sync (doesn't even give option) w/ latest @itunes. Tried fixes I found... no bueno. Thoughts? @apple #techsupport
205,@nickruz4 @Apple I can't I just got a new phone /;
206,"Apple plans big India push with 500 stores $AAPL #aapl
http://t.co/T9btLKHl74"
207,RT @pyalot: @Apple @appleios rolled out #WebGL to #iOS8 3 months ago and just overtook @google @Android in WebGL support levels.
208,@jakeflem @Apple Try booting while holding Command R and see if you can do a disk repair
209,"We know that @Apple have a strong supply chain, but what is it that makes it that way? #SupplyChain #Operations http://t.co/Pk95RjYhcV"
210,@Apple there isn't a puke emoji I'm pissed fix it fat
211,RT @codygotMs: @lihdior_ @apple fuck wrong witchall niggas ?
212,@Apple @ibmbizanalytics MobileFirst enterprise collaboration online. Game changer? #doclens http://t.co/FsOvxCiit5 http://t.co/qwCUhsq57u
213,"#iPhone6c release date, #rumours and #leaked images: @Apple [#Apple] said to #be working .... (#Friday, 5 #Decem... http://t.co/zX2zMhpnEy"
214,iMessage isn't working thanks @apple
215,"Here are @SFBJEditor 5 things to know today, including who is hoarding the @Apple #iPhone6 http://t.co/lwacRDp3vU"
216,RT @huffpostgay: @Apple CEO Time Cook gets a unique honor in his home state of Alabama http://t.co/TDRfmjsV7L
217,@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck
218,13 Things You Didn't Know Your #iPhone6 Could Do #aapl http://t.co/RsPEXS5vuC http://t.co/2CfryTGVom
219,@Apple fix your ios8 garbage software mix in an update ASAP
220,@OneRepublic @Apple this is awesome! Can I join?
221,"RT @JPDesloges: APPLE - Fibonacci Technicals Levels - LAST  Intraday  Update - $AAPL #aapl 
http://t.co/Eyv06mibko"
222,Ayyy my fourth phone charger this week broke today @apple fuck you
223,Update: #Apple's #HealthKit Seeing Early Adoptions #AAPL http://t.co/dtJI2hNtoq
224,It looks like I have a software update saved in my storage on my IPhone. Can I delete this or do I need it? @Apple #Applesupport
225,@sammcmanusss @Apple idk it just happend though
226,RT @bchmura12: .@apple you suck
227,iPad Mini Unboxing!: http://t.co/GnLy8W75nA via @youtube @apple #ipadmini #ipad #macbook #macbookpro #startup #hipster #unboxing
228,"Apple Is Reportedly Planning A 12-Inch iPad That Will Be Like Microsoft's Surface $AAPL #aapl
http://t.co/ahKJeeKqdi"
229,"@Apple #iOS8 Notification Center is a pain in the ass: No way to sort, no way to dismiss all notifications, and hitting that [x] on each app"
230,Theyre not RT @Naivana_: You gotta be kidding me @apple http://t.co/GeeL25AlT1
231,"#CondoSeniors said @Apple needs to supply condo with dedicated tech. So many issues with iphone, imac, ipads warrants it. Tech will eat well"
232,my iphone6 plus is impossible to hold without a cover it slides out if my hand #apple #iphone @apple
233,"Apple Details An Elaborate Transit Navigation System In Patent Applications $AAPL #aapl
http://t.co/O2kMFHrQlr"
234,@TeamCavuto @Apple They're staging a die in ar an Apple store while being on their iPhone.
235,Apple Secretly Deleted iPod Owners' Songs Downloaded From Competing Music Services http://t.co/glvCdIKMwG #AAPL
236,yea let me just pay 600 dollars for phone so it dies at 30% fix your shit @apple
237,Lol fuck you. I'm still not buying a new one. @Apple http://t.co/XHqOVbNfZK
238,16GB @Apple #iPad Air 2 Retina WiFi Tablet $400 + Free Shipping via #EBAY http://t.co/TrkYuoYew7 #CyberMonday #firstworldproblems
239,@apple my app store aint working. y??
240,@buzz I sit home every Friday night waiting for an invitation to join an @Apple dev team.  (looks at his phone)   They'll call me one day.
